Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"32768/1024" 381115 356851 352435 358405 341910 79944 589480 103742 54894 105767 367857 363620 351796 324082 353457 121533 101220 115355 102971 638642 
"32768/2048" 551408 570324 545088 406293 592701 112719 555614 15156 102407 39769 583434 556918 225923 80395 461561 90370 109679 101753 11573 542157 
"32768/4096" 555767 611868 512570 558277 536318 118589 119720 16031 101868 37648 664624 631137 588727 350703 234985 14909 101678 98588 11878 616321 
"32768/8192" 581777 399922 521940 548630 598055 98313 522016 12250 39053 88365 478679 505882 516787 280437 436760 16735 104761 101551 15123 123611 
"32768/16384" 599445 501644 526088 602551 525726 140847 715206 12119 91857 91529 647958 459301 179456 167576 248942 19355 109896 102257 97865 107983 
"65536/64" 164190 166609 163332 160663 163783 109203 318805 102511 36130 36596 161462 147275 149673 155335 147360 102497 104220 19575 106061 38102 
"65536/128" 169800 172549 184138 179427 175912 105162 358227 38345 105756 107471 138457 178102 168995 179910 152382 45116 14101 106162 75420 104653 
"65536/256" 208777 217431 195144 197533 189680 443499 496169 17599 53226 13327 198631 187582 173644 202813 201692 5341 110428 56429 15309 113055 
"65536/512" 236593 245399 272345 258669 292358 530643 586934 42954 65545 21626 259200 218536 234527 214023 275129 111712 117168 105953 29653 103165 
"65536/1024" 341246 323049 324113 320987 350870 599986 602059 20416 109661 25063 326592 306902 298645 345475 363299 27732 42944 16674 110416 403390 
"65536/2048" 304184 431720 397778 429525 426819 123884 593842 16917 21237 20239 392941 469280 152254 366676 444628 16912 342349 106366 113445 105415 
"65536/4096" 408835 419457 420043 429448 391098 39928 611076 16310 15833 111643 392052 253943 380788 289082 447824 15115 108460 121297 71761 109345 
"65536/8192" 395744 412659 386032 407828 414462 109537 424425 20808 17246 103898 495887 126527 435165 356889 412960 16036 106893 19233 51843 118132 
"65536/16384" 448544 427314 400547 418199 376342 114262 623008 109620 18798 10210 452483 220105 314095 156145 423448 16597 120306 14470 103323 15180 
"131072/64" 177161 161971 179120 171084 182832 100009 321091 105219 103469 105832 161432 181174 154315 168375 165284 18414 38378 102004 45041 107586 
"131072/128" 180030 188520 191633 195485 184331 107632 377795 18322 15923 110392 184312 191570 187470 179410 159975 25077 106230 17788 21847 106786 
"131072/256" 234259 233361 208070 240726 205495 34054 542674 20641 391845 114099 232000 227391 189304 186065 192375 121896 106139 20812 110490 108031 
"131072/512" 252491 257326 299904 255649 303794 122245 587837 21080 457393 132423 307605 273491 217943 231806 261078 105528 46821 51531 31477 115089 
"131072/1024" 354516 329571 302533 281091 296118 107822 605240 21020 621405 73702 279459 348071 191580 258177 324434 13046 105716 115357 20861 105252 
"131072/2048" 408089 423889 370634 406144 398072 117557 652287 17748 613925 39880 431379 356385 137636 346777 458362 19108 107746 139586 103440 12549 
"131072/4096" 397927 415232 430092 403806 428687 109255 653165 112685 593867 121288 346341 406058 281227 410703 436861 22363 114232 20346 125983 667206 
"131072/8192" 432612 398280 383399 409121 431457 114113 645420 17518 111085 110207 245223 349769 133838 254829 390714 16311 20686 135128 13976 614210 
"131072/16384" 411922 411566 398244 422383 423204 63953 662009 16993 385528 130722 414942 265716 152915 137066 401214 115855 115253 105378 110986 391724 
"262144/64" 170909 163220 169149 171997 170512 107509 303245 22401 317022 311562 165865 163064 166434 165744 169078 17585 93485 106477 134351 317480 
"262144/128" 195655 182150 186062 191067 179710 115068 406006 21932 123673 411647 186546 184104 186564 186661 173446 22339 43512 149532 189609 413652 
"262144/256" 233649 231313 198004 238811 207341 78163 110952 60979 42001 53041 208932 219763 203153 209657 226653 43010 51264 22946 52174 553968 
"262144/512" 245867 263447 298868 245247 313418 61017 111149 18205 20215 14441 292518 303728 226178 232676 314806 20669 30332 105018 108370 155004 
"262144/1024" 304383 371272 330362 358708 351566 117076 14064 19465 20288 20214 342977 295978 336876 345111 327500 107083 19817 39409 20859 111158 
"262144/2048" 439592 417572 421142 447917 430994 108747 19647 19934 111112 108540 394168 384822 399271 423708 401870 18413 18988 15248 85172 130690 
"262144/4096" 405038 435973 412060 435551 443450 94013 107034 15079 21536 60408 411218 405192 281163 403574 286274 18181 18972 18547 108632 114947 
"262144/8192" 416300 407172 414024 426740 431125 30147 16430 19732 14149 175214 326196 440152 407683 387653 248583 18183 18427 18136 24364 18463 
"262144/16384" 415280 406410 436188 445924 400338 122101 19623 17401 657518 587386 200862 447571 404266 393587 330176 17372 17640 75552 172722 113919 
"524288/64" 168369 170225 165091 173640 172436 123234 55996 55657 319089 137120 166301 168450 116150 166029 169607 21779 49141 22370 342222 108472 
"524288/128" 198374 191467 192050 189837 181212 58551 20078 33108 64716 133758 179303 179400 168021 187612 165638 23243 56039 102300 109274 33133 
"524288/256" 245177 229060 214642 233200 210270 145220 114281 87947 32956 121236 151743 209823 225327 229038 232172 54490 22293 27324 16547 571297 
"524288/512" 259262 253273 297633 267448 302543 166133 24247 19787 27820 54395 276612 241787 258410 271263 253297 51793 143117 17358 618106 598030 
"524288/1024" 343842 337498 358981 327862 325889 116060 30889 22162 253542 113321 318319 348129 354169 320298 345869 19876 114247 110817 59822 574675 
"524288/2048" 488087 409526 428976 401844 410879 111900 19666 113643 108259 16713 303039 377813 405327 409929 412712 109357 25591 30502 33768 28103 
"524288/4096" 389363 420281 425428 481254 434471 120700 50538 106963 14723 18418 233841 376081 386398 251092 384924 23914 53565 19182 28960 46573 
"524288/8192" 402922 401103 409434 402751 408765 117441 16255 16278 188934 206892 364906 325211 327140 399931 348858 64952 25335 109045 20830 16978 
"524288/16384" 644967 422347 430504 411522 419476 62420 17595 20714 15210 181852 354846 369325 293439 387294 178655 108253 17055 31832 174000 161577 
