Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"4096/1024" 7314299 7599002 5063617 7558881 5792648 4864330 6169144 4875373 4757904 4836939 6272759 6659365 4917236 7264812 7342434 4576653 4763181 4756587 4946971 6370451 
"4096/2048" 7061751 7408930 5056165 6883496 4964124 6500617 6595451 4556020 4501111 5184332 7024216 4801789 4847858 6058196 4841028 6169144 4643451 4830139 3923414 7222056 
"4096/4096" 4633432 6703539 6349261 6281934 4551192 4413235 4501111 4325455 4423462 4904602 5263753 5953231 4423462 4521249 4487004 4348447 4536770 3175103 4447510 6272759 
"8192/4" 5227560 6621897 4584473 5442863 4291316 4196965 5535816 2917329 5672914 4021596 5550123 4137332 5638469 5588034 5535816 4071635 4175036 5075439 5319004 4158362 
"8192/8" 6527546 4745947 4667931 4710810 4699856 4015486 6481984 6248582 3873350 5919188 4553488 4449702 4493345 4508675 6665573 5385702 4257814 4452008 4246763 4531269 
"8192/16" 5983092 7173514 5653313 4850463 6692839 6154564 4858693 4665396 4735482 6420214 4660334 4660334 4732221 4707583 6000856 4708228 6827153 7217210 5564505 4713395 
"8192/32" 5004472 4980534 5728718 4989212 4911476 4740709 6215800 4556507 5091232 6601541 5094251 5740202 4818493 4835445 4793620 4893290 6339662 4699856 6359610 6623173 
"8192/64" 7068733 7086227 5227560 6404656 5065711 4937591 4576535 6369040 4810398 5088216 5905961 5368872 4836126 4902367 6660405 4686395 5059743 6948652 4069706 7224798 
"8192/128" 4914286 5505657 5022761 5129233 6965556 5133064 6770651 4961834 7199064 4902367 5696426 4961834 4896080 6601541 5357988 6753351 6580049 6832584 4884942 6737460 
"8192/256" 4694077 5133064 6861236 5110162 5078440 6036702 7346838 4531269 5191229 6742748 6781341 4721816 7185515 4835445 7293813 4931921 4979812 6277120 4847725 7307775 
"8192/512" 4982701 5126172 5120061 4749227 5053790 5622783 7359427 4864196 4710810 4531269 6758664 6737460 4923441 4866952 4988488 4719221 5697371 4357162 5649594 5191229 
"8192/1024" 5117011 6866721 5164698 5110162 7640921 5152307 5777847 6553692 5740202 4118487 5793435 6682426 6715075 7269124 6742748 5207752 5573531 5309142 4875931 4751197 
"8192/2048" 5085204 7008178 5091232 5081444 6917874 3616507 4910774 4873164 4807705 4625826 5579867 4765695 5139206 6775991 6233844 6559949 5329730 4708228 6954278 5231540 
"8192/4096" 5984134 6568727 5919188 4625826 5449769 4602281 6095604 4237859 6127127 4373801 5165475 4430195 4409161 4049561 4354953 5429103 5761377 6085887 4222755 5553712 
"8192/8192" 5188093 5188093 5117011 4309076 5724900 5274909 4297757 5004472 4300447 4067297 5171695 5063472 4162392 4833405 5177930 4177066 5267631 5410295 5428245 4807033 
"16384/4" 5013529 4359596 6095499 4195634 6177694 4195634 6445388 4273385 4678675 4207450 5214393 4564014 5155324 5576609 5746830 5326345 5514407 5847069 5758869 5841105 
"16384/8" 6840613 5383933 6030242 6614761 5659275 6208391 6442970 3988406 6255866 6075022 5775325 6646751 4634813 4595758 6933793 6450228 6082012 4586862 5736755 5710535 
"16384/16" 6829057 6453256 6801345 6769854 5647647 6614125 4782213 6445388 4714626 5851550 6159422 5158807 4672948 4691772 5997088 4714949 4713332 6633278 5488861 4921609 
"16384/32" 4980103 5027099 6971779 5910434 6262707 4915624 4939296 4761668 4844242 4912813 6553571 4863096 6348333 6884473 6812133 4741954 4914218 5166564 5731014 4920199 
"16384/64" 5085131 5288633 7710195 7089740 5343741 4993492 5045925 6858364 4921609 4995307 6809433 7145026 4917383 6820923 5946749 7160661 6197193 4856223 5078742 4929022 
"16384/128" 7564220 5078742 5921129 5288633 7028827 7123547 5917050 4880712 4978660 4960332 6896218 7132419 7471290 4976857 6921919 6612216 7288248 4213900 4876209 4850396 
"16384/256" 7119857 6027598 5803614 7022362 7043235 6684900 4976857 4708166 5851550 5102499 7340408 7454271 6039252 4951396 4996760 4738030 4854508 4303626 6854943 5028571 
"16384/512" 5150687 6412908 7724930 5944691 7403675 7521994 4989142 6767854 5626377 3514378 6058953 7102196 7502285 6878271 5010605 5498083 6855627 5153778 4877594 6901066 
"16384/1024" 6971779 7043957 5147215 5237842 6720201 5012066 7556734 7477794 6284471 4844583 7464797 5012066 7423670 5024526 6465399 5439333 5806066 6277582 4883486 4996397 
"16384/2048" 6975317 6912867 5129541 5069002 6488597 4917031 6164394 6548575 6375425 5505571 7356911 4937877 4946763 4945339 6736671 5576609 7242926 3542459 6097662 7157678 
"16384/4096" 5078742 5569378 4708166 6083627 4575257 5361251 3537171 4527032 4505957 4030513 5716711 4783544 4902299 5362924 4779552 4017553 5373408 5797739 4437578 4522266 
"16384/8192" 4533603 4844242 5224303 4549812 5347483 4942494 5085131 4768276 4067491 4714949 5033359 4192562 4366799 5124951 5039634 5085131 5007319 5042962 4661221 5234251 
"16384/16384" 5163847 5378876 5319336 4191283 5305783 5357489 4304974 4804951 4153286 5287006 4333206 5002944 4892178 5055205 4686652 5056693 5016457 4917031 4607467 5343741 
"32768/64" 6845317 5910385 7120523 7106532 5079456 5038120 5059076 7400010 5768007 5004366 6114429 7254320 6667002 7367087 6647975 4990556 7327417 7004755 6657313 4956540 
"32768/128" 6795563 5899729 7739200 6280969 6773125 5033323 6702441 6455622 4089860 7196960 5997038 7230278 6702441 6258374 7552086 6510668 7703197 7292813 5028167 5197003 
"32768/256" 7524384 7467557 5292667 6840888 7740943 7604317 7259301 5000543 6140929 5843044 6855560 7137533 6782819 7545038 7214338 6681912 5389592 6414945 6180418 6755149 
"32768/512" 7061983 5992592 6815445 6350623 7039196 5476788 5113663 4053432 6273801 6742556 6709312 6958650 5804792 5114425 6656024 6919064 4521047 6884061 5746783 4246818 
"32768/1024" 7659409 7477715 6461692 6437781 5618741 5612088 5059076 4960297 7108002 5049782 7109473 6032308 7536350 6806669 7022651 4986753 6960060 5484219 4939439 6045842 
"32768/2048" 7752296 6484864 7054371 6961470 6778470 5336853 5201921 7311047 6952666 5064669 6165170 7248199 6796907 6954073 7472836 5489695 3971902 5844286 6406273 7373411 
"32768/4096" 4930402 6754817 6595653 6549450 6300549 5510826 5862984 4990556 3797830 4380132 6106550 4583619 6168768 5369169 6076044 4896501 5761961 6276380 5653410 4757186 
"32768/8192" 5309022 5549320 5326511 5214552 5705748 4052476 5578602 4730334 4073012 4514661 5384314 5481375 4274954 5482469 5517463 3541711 4889185 4029427 4240659 4098519 
"32768/16384" 5949015 5256433 5766797 5231224 5445109 4065542 5624490 4729683 4039968 4130048 5603393 5040337 5129504 5368330 5283511 4889359 5119187 4939439 4959581 3855034 
"65536/64" 5175360 8518906 7983487 7028003 8642653 4570800 5494722 8410731 4970055 6673769 6705842 7859986 7522697 8277758 7471984 7246442 8024506 6787811 6593724 5504074 
