Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"8192/256" 323130 337492 279686 341874 282815 402872 376018 76780 135678 423160 72185 239077 398134 237366 307715 204819 87015 121723 66019 458418 
"8192/512" 389615 395613 472241 389059 477385 461962 504927 181283 142692 505864 497118 326465 616077 382962 255482 153210 150000 217866 151055 545403 
"8192/1024" 474589 569720 582805 560327 587960 611428 686387 304467 470476 647737 699281 400002 629474 306586 304297 131708 270085 238820 291508 651495 
"8192/2048" 783095 738683 806135 781315 812867 718164 759418 440877 365747 730579 927017 584679 706397 661988 751972 421701 427690 377460 534375 758580 
"8192/4096" 827211 803608 825145 839931 853683 733057 896072 534933 532289 280211 1104324 769056 964435 808201 777672 394699 783613 685237 546235 861863 
"8192/8192" 944420 829408 863965 856022 957687 226005 1313003 632836 793329 815355 823721 842278 756492 1148970 1263188 144225 853938 646713 938795 1391544 
"16384/4" 9825 9201 16789 11202 7844 18740 23893 9430 10618 9166 17745 20827 17158 9640 9389 9179 16282 9953 10305 23700 
"16384/8" 17231 12772 29374 16468 28725 34328 34158 26357 17319 35119 20515 21153 21764 15113 13951 19747 18573 19157 14821 33961 
"16384/16" 30927 53348 32441 27313 24324 40004 35287 28999 30865 41865 39946 39960 40419 24014 24174 28741 25829 21318 29954 39613 
"16384/32" 65873 59752 56034 52592 60084 131194 130140 53843 50918 54792 75492 80703 71210 49630 59203 59213 63681 60238 58481 131722 
"16384/64" 90425 110991 92914 190662 106943 174145 135321 137331 78963 96302 129026 131545 137829 89695 83561 107226 113391 119973 126672 111550 
"16384/128" 120395 119264 121008 101714 114959 367040 111220 126971 153376 172285 179295 164890 99298 142229 92416 82138 152761 151889 147734 132118 
"16384/256" 337029 330662 274411 339297 282965 359053 195475 177419 183411 83457 395442 303863 204136 262454 147991 118283 90465 104362 128425 378968 
"16384/512" 387028 393695 482405 387584 462630 457782 165448 179003 128116 197117 601005 581447 315848 287776 320852 183710 182004 106520 161034 492235 
"16384/1024" 551999 574838 559674 560043 579677 253567 285211 241491 277953 283753 755409 696953 409527 363048 473552 286966 298383 334196 287001 651784 
"16384/2048" 951993 787202 831674 1014552 778234 779929 352677 498904 385486 522900 906795 564631 632952 544192 428071 379619 390718 315342 316324 946512 
"16384/4096" 853469 852400 905492 858834 849302 949297 538487 572825 673239 538858 1003983 713310 555107 981611 542174 546351 555125 521598 702819 824678 
"16384/8192" 990154 887885 863583 890047 865781 1140310 690697 662332 656592 577961 852442 844709 929799 968551 881665 590648 802621 686790 875677 648334 
"16384/16384" 1091689 1012235 1002328 1011356 979024 921693 747618 978438 790053 513702 954612 790007 1006763 920496 976520 670435 765686 708288 573007 1443146 
"32768/64" 84927 72880 79875 73398 91872 114007 70928 71865 79646 72928 109140 80245 72792 89358 75280 75980 75341 72895 77309 124577 
"32768/128" 170356 132213 142601 118808 159713 321084 181292 72605 85562 82521 174540 106695 115913 138164 155434 74824 116338 90281 168162 178205 
"32768/256" 125964 152753 155250 109681 139642 433520 462816 104300 194886 98581 161432 147152 156282 117125 215843 107408 111072 176842 82958 448089 
"32768/512" 242225 270760 257068 249908 315927 154804 548538 109555 147820 160558 218523 178265 241930 151305 227505 131093 142663 394694 141378 237399 
"32768/1024" 331193 479449 454788 366237 407020 161191 262376 306807 280845 218386 204214 690114 356569 427920 426405 289171 309105 301517 224052 670293 
"32768/2048" 696761 582914 822555 440075 744878 389464 1077109 472719 420122 430433 1011675 1053230 727433 528217 826288 279869 319186 357287 380788 1065419 
"32768/4096" 840745 754815 521186 569006 828985 555201 1090812 583580 533116 511984 1015300 810367 835663 520987 532016 476507 323331 525684 440471 1271996 
"32768/8192" 1290533 860915 860188 859284 869152 618203 685109 526919 602229 643290 1140469 1036400 987612 691395 994357 325079 661165 586219 745185 926695 
"32768/16384" 1022529 979204 981049 991495 945990 715508 1174894 613003 884592 830392 1023168 1003864 1135373 943179 505498 693149 544880 761018 814478 732672 
"65536/64" 73583 70063 73221 78937 77563 71614 130066 53878 69853 114096 96911 71356 70535 67592 74082 72607 96710 78385 75303 67727 
"65536/128" 123466 122825 125616 129255 113977 100429 320198 78748 88449 87331 162966 93490 95960 122614 83956 76191 90751 84455 76992 92417 
"65536/256" 184435 165053 182500 184818 182694 442681 138759 99128 79870 94916 159032 209562 138755 130340 72579 104598 87352 106648 113953 95962 
"65536/512" 237107 270388 307282 243150 253329 495733 407268 149535 155434 135109 266527 205309 216539 218794 158469 151037 131223 122544 127629 131051 
"65536/1024" 389251 335722 407440 305699 313122 655471 807958 212032 219328 300146 425818 253119 235341 81778 313199 283207 290266 214596 298498 464791 
"65536/2048" 363200 378894 484239 416940 424884 384580 752810 355482 383637 283310 325913 267922 97670 288898 287000 286798 351254 287990 383141 300507 
"65536/4096" 524481 465349 408425 453837 379567 590244 978005 399795 444176 411046 479790 494525 218815 424901 439561 373726 511719 604648 473491 524044 
"65536/8192" 790074 647628 612679 633174 606001 721906 1392839 517587 513363 698046 719606 90301 618392 676459 570443 430365 639999 508756 589236 639275 
"65536/16384" 630009 875131 792329 880813 884987 646057 986378 682055 807014 640332 739408 750620 761409 935586 825950 704188 727127 775582 724898 690863 
"131072/64" 74982 70710 76674 70562 70253 66350 120856 64794 69776 53662 88999 58887 55873 60182 66817 64699 62483 152389 90367 66406 
"131072/128" 113201 113795 127534 108624 107026 80867 336758 83839 81407 151974 133139 81758 98838 87543 90276 82332 161400 72913 80815 83230 
"131072/256" 144580 147829 161046 146349 148541 115956 250409 100665 329660 145850 148714 112766 116393 112391 118004 70239 119811 90337 87771 335994 
"131072/512" 213868 205170 228087 189807 213724 122617 390173 132509 410276 157109 214007 195083 140284 180664 143072 116785 154918 119627 149033 146082 
"131072/1024" 286075 328834 313972 285368 292342 186076 522357 247977 539555 316070 310212 249781 200293 230528 287469 203854 198130 265192 323699 197686 
"131072/2048" 366924 365732 421733 451894 373177 380249 667647 285207 206178 371101 380198 378991 219023 361725 350002 288319 385197 280983 152987 271429 
"131072/4096" 519714 488334 582255 624801 501152 538411 736086 594029 478668 515759 602405 307868 437963 364492 516782 368172 510820 465239 563777 1194778 
"131072/8192" 723994 730267 614698 744021 739162 665130 790418 548930 780612 258844 467579 673486 103669 473769 453368 572042 544524 631711 609226 142040 
"131072/16384" 837419 817702 889915 937735 820538 650820 686722 688844 1107485 628006 880552 702520 144799 796901 934425 709214 732614 760036 623282 1244664 
"262144/64" 75764 73214 73293 78466 75430 57848 93249 61438 94194 105213 88103 61281 75335 57999 70032 67305 61289 64209 71679 117556 
"262144/128" 112319 105799 108809 104604 106209 79033 236105 105960 95236 239852 76674 86282 82725 128089 88848 131184 236451 59919 79010 253275 
"262144/256" 143934 146314 151568 138009 137264 102783 80314 128552 92508 208306 161939 94360 135423 101515 110620 95390 109794 89598 206501 324664 
"262144/512" 195745 165025 179693 181852 185163 215439 124934 156052 130719 114075 128460 136109 154409 132484 154463 118784 257533 162976 140861 432791 
"262144/1024" 240244 240618 263468 243381 213850 265254 276878 297951 193680 227092 284089 183932 203032 241974 240430 219442 169979 180084 180346 255887 
"262144/2048" 360435 339390 355196 342396 324463 380087 281728 268383 376909 233092 447125 356309 282391 222608 314929 262547 278816 382002 283670 292270 
"262144/4096" 472292 468451 496547 438863 426138 521500 476752 506550 377186 436804 354146 407962 323541 397426 427740 359583 485168 405373 375439 351962 
"262144/8192" 576980 534378 619207 580488 549163 652503 521919 543024 593693 848881 441906 519926 571662 483482 172329 489218 531309 501310 496203 482979 
"262144/16384" 832472 793531 877548 859987 811385 521151 682052 696495 1036457 1087441 545915 737239 424439 293679 804275 725790 706322 682714 449820 653846 
"524288/64" 72902 78073 73285 73153 74986 76447 59282 55937 107545 149188 60668 69985 48687 69505 63539 92105 61927 92135 66991 86341 
"524288/128" 101681 108485 106021 106371 103017 173870 98876 97860 150901 104865 93923 128102 81750 79202 78332 89097 69826 111772 87637 104858 
"524288/256" 148503 145287 140144 132509 135524 111565 88126 152544 143233 128390 94757 157545 101256 167106 110948 110740 140850 124781 136922 313022 
"524288/512" 180176 168537 172182 176750 189213 307926 140570 261661 139771 144528 118876 198049 76080 210954 124098 171104 178832 125304 184827 297048 
"524288/1024" 244176 250395 243659 227007 223825 235922 271701 176895 211892 208423 230710 249885 238825 264547 185184 264555 214815 200272 213993 262291 
"524288/2048" 345562 343557 350904 376949 410843 748747 312022 326160 370862 318965 158935 405288 314575 362980 163123 288970 289950 256695 299309 378109 
"524288/4096" 459760 461579 460269 430699 486867 365001 413525 521123 502402 445134 319365 422040 340395 162906 219976 342030 488037 489318 513075 427414 
"524288/8192" 615188 584132 633721 572262 569137 510640 507787 550767 331426 503653 167226 484646 493971 491777 489644 538926 525844 597302 519483 615777 
"524288/16384" 793442 795787 757201 746342 767972 707290 684600 701458 693890 1056123 570177 686239 698626 708741 655993 665788 666436 689679 693169 1121529 
