Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"262144/8192" 992304 866227 844168 833433 852847 670817 707176 811450 676458 775759 663722 725849 644455 814050 664323 838895 795694 725072 792723 800928 
"262144/16384" 1125066 1113648 1182565 1093360 1051276 635702 762162 883994 1207942 985682 928929 1035209 789578 954687 961220 776101 694940 750914 758823 847802 
"524288/64" 247308 253613 243830 249785 203424 162308 155574 100265 130698 202686 158653 197215 156303 192017 125709 80088 73733 156105 153905 74683 
"524288/128" 271352 278832 274761 276165 274998 160799 176898 131431 87246 85853 162773 237015 195294 119333 127626 150358 91246 104856 177610 133926 
"524288/256" 357566 353326 288589 354632 283407 201717 195355 222065 102654 104926 219865 222358 211365 309514 205921 338774 200736 140216 201441 461911 
"524288/512" 385507 388382 508157 387723 485407 155101 225930 154000 412695 150268 245678 195520 243262 197414 124455 210602 265249 236914 252822 411831 
"524288/1024" 534749 548190 555114 507687 578534 329221 299230 347638 238460 300098 280388 582126 404728 595800 211085 299694 294310 304954 302771 431067 
"524288/2048" 751377 761889 778123 793443 808131 432985 378940 309854 401509 430750 153896 682063 612755 726278 316066 536460 462069 531652 556962 388711 
"524288/4096" 830487 823802 841509 830377 805088 650515 571090 512464 524435 536031 480291 768971 479846 186766 255552 463066 507324 504626 560348 389341 
"524288/8192" 1095287 855302 976149 806613 859247 821226 804736 632467 765610 856823 739057 482236 851538 767111 652684 638844 553259 436748 532808 634322 
"524288/16384" 1111681 1153871 1185906 1097095 823254 743143 806130 760175 591671 972874 548614 963899 355721 900153 378840 738223 881692 799771 892623 396493 
