Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"65536/128" 109090 126817 125423 128833 130387 80668 44039 65921 116679 77674 125841 119235 118927 113918 126839 69829 39884 79263 72576 79823 
"65536/256" 169348 194515 182033 169410 224358 176390 400357 143723 61718 90905 146344 182214 180198 182064 194122 81231 82151 81777 81012 82725 
"65536/512" 256897 260759 304882 289414 283903 197405 72885 99520 155192 119119 264878 256026 287858 260119 280349 149002 384521 156151 134260 111067 
"65536/1024" 415236 444031 430048 426092 432620 747786 558532 142580 288712 193516 437885 303317 85756 440323 317166 156107 265081 174707 296691 652287 
"65536/2048" 792569 769175 834068 806784 812124 409979 299128 236072 208091 383323 820984 370672 597394 688287 672963 325952 369424 382537 266406 410683 
"65536/4096" 857868 794027 840775 990134 859431 511228 869834 479993 357008 523605 936855 123362 405351 708351 773641 366671 528396 505374 527592 558042 
"65536/8192" 983537 869039 872022 869545 958983 592292 1006201 423263 464329 629802 1083293 704165 998003 537669 751714 520024 607788 434059 591533 657675 
"65536/16384" 1011499 986024 997916 1001067 1001009 737967 1333195 585796 611028 686184 1403341 880328 1164239 850047 988610 590925 845812 820759 629554 785765 
"131072/64" 74171 77587 89642 74216 80324 55037 54702 54336 61403 85487 74496 81539 71441 82141 79652 65360 51273 52063 53063 67288 
"131072/128" 107355 112211 107804 112206 107789 85387 282128 38241 37960 64347 110750 111473 108264 132943 115459 76549 74486 60860 69063 60243 
"131072/256" 161589 157604 149256 149518 164644 80818 426327 81527 82901 77871 160173 175528 176813 149524 192477 89404 80076 75366 83915 80094 
"131072/512" 214954 220480 215176 230373 206055 466409 201724 94523 404700 144857 215002 262000 195977 169949 223306 154067 149166 150163 121068 112995 
"131072/1024" 341387 336062 321581 335993 316194 277983 544364 158721 534941 721698 320718 379499 321721 308616 311826 155059 283732 290011 170785 283722 
"131072/2048" 539543 509238 521565 501791 493975 391748 965325 269016 994354 335394 502656 358363 414262 386589 523130 248811 235227 376240 158086 293990 
"131072/4096" 628100 602838 631651 597550 585890 501302 390834 529887 297840 529498 628184 627697 540316 409845 598062 380442 340398 346472 508957 1151473 
"131072/8192" 743692 699035 693187 692593 730479 612760 1140312 458591 1050803 674519 661465 473598 639191 686906 685405 571521 531195 545701 559390 1216333 
"131072/16384" 897200 812059 603207 899960 871408 694296 1276483 626338 1359443 190071 940488 868325 933181 321070 699513 694097 683115 706930 619079 243632 
"262144/64" 75498 74577 76834 77199 75870 50953 77254 69319 80865 158661 72156 75149 76485 77965 77107 54157 80673 46707 54851 157412 
"262144/128" 106845 110814 116449 104048 113369 68975 100187 76555 76003 276291 117435 108075 102429 110926 107193 83848 60268 74624 66545 63204 
"262144/256" 150319 151719 154283 145602 137597 64500 173602 77791 80370 76641 146479 136286 130531 156465 158747 87203 65884 82187 77517 391404 
"262144/512" 196848 155839 204340 172446 185283 148194 151356 113522 123454 153329 195337 193368 208327 179125 180682 117175 142981 114498 136280 379097 
"262144/1024" 280560 233970 271313 240774 282433 173161 214740 167140 157406 165484 284574 279277 279201 272156 269600 265756 225612 259258 173371 259795 
"262144/2048" 390047 357737 353050 367347 462242 361498 281736 277442 403325 310689 427786 397246 518254 422625 395095 266496 260416 230301 282464 367785 
