Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"65536/512" 229970 237716 257874 231911 250206 571145 367093 106476 106301 16950 227046 222331 252247 245607 239465 104924 108848 108557 18457 34601 
"65536/1024" 304314 337490 336461 330574 346091 540591 663783 20453 106367 22042 265261 280438 331153 315702 258941 107531 104489 17789 113780 51851 
"65536/2048" 430580 496327 480821 434796 449918 119248 607861 16621 106918 20771 422314 438497 416860 441308 487310 19532 40139 15594 104343 116669 
"65536/4096" 437084 444176 463004 645593 451253 112321 66715 16679 14535 24189 466605 432287 460981 497200 427119 13787 109328 110913 109737 103300 
"65536/8192" 377949 424717 421312 437218 449233 107591 661031 17872 13839 116737 334797 460947 434188 402822 428427 16114 109788 28605 105784 110577 
"65536/16384" 424312 423962 441614 510870 455392 56327 87569 16710 19883 9936 455187 461673 395772 477615 434660 17887 22078 13291 10166 48024 
"131072/64" 175902 173363 173565 161968 179500 105837 316410 101829 18608 96202 163908 169705 169138 168887 183053 17483 284993 100396 104337 102856 
"131072/128" 186523 183413 174359 192802 184670 107399 401988 20656 18723 59610 172499 164814 178951 154581 156174 22913 108586 18083 17271 102610 
"131072/256" 211782 213955 202246 213663 200779 106354 110551 16291 346240 80587 215069 188265 190707 200098 186730 118885 129671 99494 118132 109015 
"131072/512" 254938 254193 283379 258815 285057 116368 116611 18681 379543 108650 244851 239934 228114 245856 263323 99191 109606 22428 17823 14125 
"131072/1024" 338790 326711 337529 325626 316680 115672 524636 21737 110948 18822 301260 293832 305693 309443 303909 18306 107116 35767 107320 40476 
"131072/2048" 397478 419333 443002 405570 428139 118751 118311 18146 373980 110149 395045 373738 360927 378338 391424 16209 112876 19086 15274 16975 
"131072/4096" 377579 446958 382814 345839 392608 114094 377200 100389 568955 117076 390242 385141 372450 369985 424142 20361 107525 25507 106269 608657 
"131072/8192" 371328 413310 405811 390994 411936 116294 394706 22064 667240 168028 390739 419887 390356 368176 392250 16140 27331 14674 53698 385838 
"131072/16384" 388645 377872 390776 412411 400367 118660 453346 14937 659033 109093 376266 371453 400568 456849 389991 24907 107025 108558 19528 643437 
"262144/64" 164160 170858 165288 165799 163732 73733 317011 17321 376093 311403 156490 159843 163889 159856 169832 16463 21129 21738 14534 143900 
"262144/128" 183522 184086 179816 183856 181629 59796 103763 20785 97404 119967 157582 183526 168656 171325 181912 16212 80611 104611 16790 469019 
"262144/256" 231481 226134 205366 234833 213314 57073 118055 91130 42926 109302 215755 217355 203519 218994 205988 15980 23885 62898 41458 172963 
"262144/512" 259831 266339 304659 250608 300624 90283 38012 13448 19008 63271 241187 251595 255812 261057 251687 15040 106922 14257 34463 286304 
"262144/1024" 341132 357112 337271 339364 354168 49250 15756 17805 19336 23113 333649 317246 331948 316252 331626 15489 79093 15483 16496 103089 
"262144/2048" 429227 438865 409486 397651 434756 120289 15567 16204 129269 56984 362633 397501 406640 402266 363044 13893 26928 115005 17838 21899 
"262144/4096" 367817 379367 446804 460852 409426 115163 17282 20006 51637 19194 384255 392361 384607 390134 392732 18412 92377 16913 157406 18016 
"262144/8192" 437007 424078 411530 389393 404756 117022 21214 20282 44535 646868 402572 385778 393686 364401 389994 17759 43847 17082 37061 11678 
"262144/16384" 424258 418390 386414 422617 390698 64391 16176 15810 130934 659705 358616 430634 393651 419831 387519 15688 107664 18535 132465 98814 
"524288/64" 176299 173429 172335 175158 171061 113879 16696 20556 154153 203117 165357 167232 162561 161788 172109 53347 19661 13644 92169 22104 
"524288/128" 189179 190061 193469 192480 186071 110889 107530 18410 110146 83033 186779 181558 187717 167517 183586 17446 31226 15547 110160 46051 
"524288/256" 215930 222013 211275 236293 207089 133599 16476 14570 96019 51925 204046 219111 216227 197808 202080 9183 113941 108173 109708 287721 
"524288/512" 254101 267165 290448 249140 299873 115803 15731 18116 17838 88589 264330 249780 256296 247096 254015 23359 65845 14105 138501 260829 
"524288/1024" 347424 334698 326253 331109 339842 113902 24525 16489 18462 32557 320916 326132 240499 323072 323379 30303 16627 17676 57422 661499 
"524288/2048" 395447 380674 395364 390339 394222 117213 15572 18807 112139 24633 372602 362452 367856 374406 390251 18808 16807 33100 14481 73767 
"524288/4096" 421336 396689 418970 420749 406863 116527 22904 20418 76318 14133 394702 357338 358831 397666 388326 14824 53694 21243 37569 125451 
"524288/8192" 403306 400193 397240 386867 413689 69751 18254 44733 15673 18533 386011 371271 360177 385946 376174 47623 15705 16642 17613 115047 
"524288/16384" 399839 407371 410804 411943 430541 21059 29865 19541 23475 220700 406433 389311 369467 392700 380234 18486 21403 16746 17797 129936 
