Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"262144/512" 10048836 11035306 10570722 9624171 10965640 9068525 8631351 7329598 8465022 9485596 9221011 11097008 10914912 11229153 7825437 9465427 8769167 7685033 10885520 7494772 
"262144/1024" 11151707 11230071 9643332 10619114 11069413 8581969 8494582 7839889 9580230 7551964 9752042 9084860 8399899 8578621 11673733 9320359 7142338 9439828 9815945 7524211 
"262144/2048" 9400202 9321386 11005152 11054389 10724661 7815425 7660564 8446424 8466912 9139990 11804072 8399322 10759504 10985799 11797612 7665691 10593433 10782083 9388403 10841833 
"262144/4096" 9229758 9499036 7684120 8447267 9059409 6180719 7407320 5536289 7542173 7266240 7252150 7535660 7291684 7238352 8212554 6223434 8750394 5890204 5012594 7590911 
"262144/8192" 7059745 6363805 6871913 6807708 6975985 6110848 5225025 5515101 6586512 5931513 6609635 6586709 6092124 6577292 6368302 5347928 5778545 5186551 5299264 4782943 
"262144/16384" 7091893 6854904 6394040 6890517 6965997 5364209 5243389 6216502 6102640 6408911 6650856 6073079 6095096 6683400 6078283 5541814 5148446 5388368 6016913 6055653 
"524288/64" 10925205 9952141 9616966 11452601 10997106 9099514 9068555 10645424 9621005 9011658 11481902 11474653 8630226 10837976 11660968 9593555 11595728 7865570 10760336 7872187 
"524288/128" 11282029 12304650 11970873 9353254 11087597 9214705 7651496 11513704 7072456 9189483 11824307 12253433 8740023 11216884 8958499 11593405 9242319 10588476 8154019 9128676 
"524288/256" 10982167 9136944 10869421 10902185 9810594 9231068 8090599 11165739 9246516 7315208 12315607 9094020 9103507 12291102 11072579 6936482 8198555 8199962 7601033 8176789 
"524288/512" 11741098 11020253 11934297 12393624 9335941 10737428 8279835 8110502 9347768 9369993 11572965 11155091 11688985 9192710 12360326 11718573 8030004 10682710 10688838 9352578 
"524288/1024" 11980983 12624945 11936499 11564019 12008134 10013912 9330316 8251283 10752181 9239368 11538534 9063808 9771664 10659511 10014277 9999932 9353573 9340422 9310564 7668840 
"524288/2048" 11382237 10169890 11509124 9809675 12124193 9238397 7664029 10065432 10827943 11917545 11691658 10867864 8954960 12227678 11761696 9294901 10279373 7668840 8054681 9369474 
"524288/4096" 8455706 9806569 8148338 9029642 8500683 8968803 8377907 8047784 6531400 6099201 8692932 8099389 7719072 8948401 9307766 6748289 8564148 6791829 8841865 6156731 
"524288/8192" 7035167 6536117 6964691 6832727 6822573 6333504 6423135 6334891 5569942 6826830 6812301 6355470 6734236 6267026 6761693 5638119 5728416 5754333 5018884 6541814 
"524288/16384" 7100315 6614303 7021308 6616871 7013515 5855492 6239889 5740963 6622151 6558359 6890642 6339182 6898987 6847706 6797645 6821959 5824134 6315660 6338488 6353009 
