Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"16384/16384" 3730535 3482146 3183106 3642541 4176255 3164199 3102486 3094244 3092434 2743532 4058602 3114861 3091877 3538628 3110631 3122504 3223874 3875055 3092573 3172672 
"32768/64" 4274954 3693820 4488124 4156779 3842425 3394911 2470243 2715014 3442790 2665622 4027538 3580369 4106356 3081742 4092417 2389876 2852329 3092212 3377060 3729503 
"32768/128" 3819148 4182203 4127443 3022575 3878752 2928357 3763820 2926486 2904715 2852092 3838776 4047344 2899567 3475612 4012253 2922566 2337563 2832636 2885263 2647955 
"32768/256" 3375650 3806244 3492304 3559413 3292912 2894926 3481864 3233187 3129102 2778632 3148384 3398101 3051025 3542441 3100653 2781444 2386100 2190059 2789516 2991653 
"32768/512" 2874882 3007890 3581582 2853099 3744848 3185084 3544085 2822861 2800943 2803343 3201853 3658326 3443135 3280729 3547470 2419708 2302090 3364577 2686988 2779081 
"32768/1024" 2865113 3870995 3846080 3557847 3316272 2333396 3490796 2806204 2819445 2804773 3504593 3560889 2791159 2759385 3520031 3265761 2795929 3370104 2367807 2525671 
"32768/2048" 3820847 3364659 3776023 3523822 3323650 2277938 3040294 2737783 2769449 2561970 3626854 3460560 2736366 3361532 2751541 2547628 2649639 2927795 2433202 2830652 
"32768/4096" 3464573 2844949 2849373 3491150 3235014 2901587 2789233 2745330 3593381 2780262 3446415 3346390 2995500 3661640 3666622 2422950 2758222 2411894 2422779 2758222 
"32768/8192" 4206524 4122739 3782570 3157135 4151004 3585132 3234100 3092768 3105697 3114848 3802243 3102473 3699288 3080015 3898667 3230527 3680171 3776853 2843007 3091933 
"32768/16384" 5966577 4747655 5909622 4711362 6144498 4926161 5737666 4677211 5670203 4632752 5429621 5963212 5957783 4541663 4685183 3746583 5493425 4644650 4632752 4679759 
"65536/64" 4738391 4234701 4774605 4316427 4743133 3332143 3438432 2524483 3086511 2567517 4592565 4062226 4517540 4168429 4053660 3372577 3412266 2505773 2952856 2635585 
"65536/128" 4222407 3931387 4256670 4422756 4268038 3078112 3121349 3099632 2445820 3175326 3752865 3796981 4180156 3832503 4171908 3132268 3361195 3209885 3868751 3848008 
"65536/256" 3643720 2847920 3967591 3960844 3923587 2812343 3029732 2537206 3004990 2420364 3532780 2783551 3730000 3786885 3881754 2619661 3526073 3182606 2534656 2997845 
"65536/512" 3945551 3902807 3713722 3016499 3099632 3113218 3597322 2489795 3038002 2978356 3807605 3653066 3238437 3831809 3229306 3050578 3071439 2926761 2632178 2969989 
"65536/1024" 3705312 3658365 3669647 3892858 3712468 3558068 2786965 2493182 3007884 2305987 3470645 3440756 3608419 3452164 3770574 2602078 2923088 2117755 2911416 3569295 
"65536/2048" 3203899 3500478 2985148 3617585 3838551 2944253 2774252 2341163 2559579 2379322 3384578 2709096 3565823 3721113 3518716 2885378 2457738 3374150 2870973 2688876 
"65536/4096" 3755634 2707548 2917782 3581620 2904832 2640674 2894950 2467645 2452607 2952729 3590837 3688853 3328069 3356516 3288965 2801623 2797830 2835230 2646853 3216307 
"65536/8192" 3917045 3933300 3962272 3912362 2996212 3015208 2730788 2675267 2981619 2995918 3751175 3483753 3661045 3682626 3481899 2596401 3573611 2647720 2923368 2885651 
"65536/16384" 4881268 3627802 4886387 4857031 4391034 3414767 3507759 3405207 3212849 2587407 3579428 3252577 4463694 4685487 3584142 3245319 3581013 2950479 3623976 3523452 
"131072/64" 4843415 4924194 3679614 5003930 4886770 3599979 3564546 4157987 3521732 3426085 4719387 4745377 3592005 3636653 3960468 2998676 2695293 4003295 2898274 3444093 
"131072/128" 4380007 4480640 4463252 4484149 3405962 3236736 3353257 3392322 2964429 3373898 4090390 4348480 4247717 4220521 3311566 2895145 3286562 2683308 2818338 3346073 
"131072/256" 3957731 3810027 3488191 3962638 4032483 3249093 3077385 3242425 3503284 2964429 3940963 3643425 3797552 3930426 3859024 3230042 3836777 2515770 2743815 3232758 
"131072/512" 3986747 3747360 3893515 3928544 3890181 3707531 3061209 2963822 3111206 2754193 3167985 3808127 3757066 3863580 3879831 2930877 3156236 2691361 2698349 2802777 
"131072/1024" 3858807 3430125 3990278 3896081 3969705 3179418 3043229 3379456 3215702 3152887 3885699 3853586 3891227 3622276 3883147 3344098 2656071 2676085 2895466 3423844 
"131072/2048" 3851211 3901639 3891338 3745981 3851993 2964829 3072483 2833182 3101272 3106705 3286660 3422161 3576303 3589027 3748766 3076661 3578957 2539712 3063016 2595283 
"131072/4096" 3419479 3422864 3070887 3730400 3394333 2974099 3380578 2801106 2946491 3500474 3599791 2975467 3591114 3615273 3405709 2581779 3455349 2452604 2649900 3190582 
"131072/8192" 3798628 3800493 3729033 3816110 3797002 2891384 3047903 2752042 2945512 2841118 3640892 3679540 3586288 3669324 3656730 2784916 3043516 2754359 2565657 3346236 
