Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"16384/16384" 586544 501562 491922 586735 599072 708617 88093 120574 105397 99676 512702 541226 527407 621975 554543 100896 20313 96357 8798 503053 
"32768/64" 133536 143902 144004 145080 129108 356057 40967 93039 131842 34078 142232 128611 143866 142918 148804 89089 16656 109489 108999 405464 
"32768/128" 153596 154663 150252 150354 152829 448133 104488 36986 109592 99563 134118 147956 141467 154479 133927 90294 12943 6693 69903 387003 
"32768/256" 223115 200834 188435 206134 195267 489680 562366 95473 33232 39101 158668 152427 201385 215894 175061 116231 13952 36876 100102 462192 
"32768/512" 241470 236878 313737 278485 262121 672165 516373 112145 84712 98128 284622 265203 279975 260092 219484 87138 13401 89236 93565 340467 
"32768/1024" 405078 418637 405318 403999 428345 112047 569719 111457 104734 110328 378353 352272 277285 354022 361192 116687 102288 97341 34214 656632 
"32768/2048" 516447 511601 598808 563381 659316 111158 718910 41905 67550 44757 531465 604284 532744 599618 592162 111903 125682 111905 39648 660510 
"32768/4096" 488120 569948 489228 569948 552861 135348 672702 15002 124267 116079 590957 501538 461494 527988 481655 15761 16370 119633 12381 677276 
"32768/8192" 621359 517622 519449 546805 515026 110257 425436 13033 63806 75176 505733 474843 503124 590424 551715 16032 108067 110237 14214 437584 
"32768/16384" 564100 494468 605101 670771 572868 38507 727610 10790 43667 111016 549688 514733 527996 538913 561000 17086 122724 119184 20430 92642 
"65536/64" 161787 169836 171197 159505 158933 114890 397585 40305 103462 103425 152801 158888 171888 167026 165824 17096 105188 104682 104438 108620 
"65536/128" 168823 158264 172901 172471 177228 107027 364364 107896 103421 100669 175872 169810 171611 151376 168466 104407 108859 15543 109844 102257 
"65536/256" 185421 226722 172102 210023 184457 507531 487517 97044 131545 27297 194634 197404 194453 193022 185205 99548 390567 107961 45354 40600 
"65536/512" 211769 244515 285091 239779 276976 516747 360119 111988 107285 16693 221135 256374 255699 282478 238241 129533 104380 163217 17689 102584 
"65536/1024" 358776 363092 366665 363195 356631 607461 655176 18323 183893 17155 302497 262197 366002 329523 325926 112667 110684 40135 106070 38132 
"65536/2048" 450766 479698 436299 423846 466980 114950 614910 16848 112351 24876 450548 372515 414399 458389 462929 18046 106070 14885 246829 114539 
"65536/4096" 464047 437061 410755 416363 496435 114612 379241 21506 17223 20084 421063 438379 420388 447173 510238 15663 104196 109589 115500 116369 
"65536/8192" 463824 445017 522024 396524 432045 116154 567582 17083 14134 108774 465114 644716 415147 442733 418741 17228 103203 30332 10304 122276 
"65536/16384" 452543 457663 459524 458662 450871 36724 382321 17706 16473 11247 589390 418607 394298 431722 443574 18548 20532 15972 12683 99864 
"131072/64" 174904 177238 172660 169705 157476 114566 350237 105942 17561 41148 162393 167380 160117 162171 163726 17163 114405 102086 107786 12896 
"131072/128" 185978 192327 181940 181228 179811 114253 380434 27520 28966 36700 170619 150549 162049 154342 162850 27013 108328 30685 17233 117849 
"131072/256" 225121 232872 198019 235807 228430 115456 390129 17614 17983 14522 202201 211274 201320 213887 207229 114213 253214 105995 104133 114135 
"131072/512" 263708 244420 276925 265583 267105 39708 505614 19480 111332 122409 257285 249392 258171 270025 258045 107930 125408 15767 19324 14146 
"131072/1024" 351545 345818 362409 333077 344724 120100 605937 22157 465858 26256 282682 321921 342961 326190 346692 27022 394670 39083 108368 52498 
"131072/2048" 496693 396916 384719 389496 471175 114355 117440 15838 600553 113076 320878 393131 492324 425753 372024 15834 126897 18313 16615 24718 
"131072/4096" 442075 447009 419393 424152 485847 109143 112139 106980 598403 109113 399242 431526 376613 404883 446003 17671 19066 23314 109139 109895 
"131072/8192" 446318 427962 452552 433503 428317 115470 388011 74301 631520 109349 328588 396172 387224 390477 353549 18527 24981 15410 103850 645175 
"131072/16384" 443494 448075 424315 496945 484313 25324 630538 12468 659070 113545 366238 426186 418696 428362 450608 18722 143182 104929 19043 618608 
"262144/64" 161727 167106 164134 169745 172439 114590 152484 16580 156192 355763 165457 154675 167037 158038 156534 19757 107544 16236 21985 321666 
"262144/128" 184383 184423 188725 192929 174090 103793 236574 22655 145825 246723 163325 173111 154992 159054 170697 18278 17377 27799 14940 225992 
"262144/256" 208705 220908 196602 217643 206544 108083 119711 104842 39275 106933 200001 204777 187912 201825 189748 16438 76547 106270 16765 482833 
"262144/512" 234711 259168 281543 247025 283794 68027 106094 13450 103698 41311 235590 235484 251518 236872 237294 19574 94894 28151 13611 600732 
"262144/1024" 346751 342364 346215 317697 327530 109423 26536 22679 19771 22493 310434 313080 316392 316270 322323 16278 116200 17991 14857 65085 
"262144/2048" 386139 368713 393225 401736 391246 45130 17809 15378 123695 110063 339477 377874 382184 392822 360614 13990 108339 123013 21657 11534 
"262144/4096" 410291 432474 460182 418319 444346 115109 15927 23609 40904 44422 404378 428800 398251 396929 383731 17172 108275 19486 107267 36477 
"262144/8192" 427503 412351 433948 431940 428723 64502 18651 18791 110545 127467 397586 407026 402824 392968 398858 21091 110425 15358 109425 14971 
"262144/16384" 414919 421972 409449 416922 438276 25229 18385 17309 118121 637863 383010 392129 405227 399206 388655 17836 113965 18843 147507 74638 
"524288/64" 169086 172714 169138 174250 168569 26209 16832 20769 356987 151406 160484 157114 155601 160425 155384 27256 38139 13023 126335 106803 
"524288/128" 186483 184215 185962 186967 186112 93488 11632 18913 107298 110888 165890 169892 164727 163786 160033 16411 19289 18464 106763 14196 
"524288/256" 226831 233071 211749 197623 203011 198679 16879 28060 19548 106128 192680 204329 204417 185005 203776 20701 36912 14519 29039 136395 
"524288/512" 243613 257773 281886 245495 292139 79702 12367 106364 17034 113004 240199 245444 248972 248025 239140 73763 33196 12559 20925 201268 
"524288/1024" 341223 327069 338510 323254 337059 98700 116043 19157 16450 114638 311990 300550 312757 308652 289356 26069 27709 16197 110174 612295 
"524288/2048" 401763 424975 394983 399293 410273 116687 20648 18059 115466 51229 384735 373258 390035 373655 389037 16955 18403 67005 15809 46010 
"524288/4096" 422703 412894 405373 400622 403386 66382 16600 19837 24772 37731 385056 388207 346724 369572 394548 76728 111472 40961 13527 19415 
"524288/8192" 390030 415281 390461 424794 390206 35245 16397 22393 20163 17155 376708 375593 338255 381800 376573 14144 48292 19399 14070 72391 
"524288/16384" 392921 397769 391800 411732 412028 31681 46867 15087 15602 648397 368428 376288 362748 401657 385001 17767 20657 76335 106316 18625 
