Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"16384/32" 134200 135275 139505 136672 135561 129507 128076 30514 34984 36331 130127 137780 136195 132491 135013 67659 31329 31204 32479 132294 
"16384/64" 154771 172929 152225 166090 147880 220087 232988 63647 64640 62983 150935 141429 138561 149303 135403 76281 63905 65139 61748 164516 
"16384/128" 198341 187892 193966 207515 173804 348114 79325 91836 72986 106006 173025 196543 217211 185416 209425 85457 212951 137005 144983 73566 
"16384/256" 278407 332224 272522 302142 274826 391361 117745 114604 77850 74705 282395 265585 306597 276522 241983 58936 80301 96715 72214 379435 
"16384/512" 380979 382072 480795 381049 415751 545406 149544 212574 150050 161531 381713 404344 404842 407603 341975 105801 149268 147002 119586 494684 
"16384/1024" 474979 567508 570950 565197 466778 743509 268493 251291 282799 285629 447541 531412 475669 427134 460846 233732 290739 298123 263505 600653 
"16384/2048" 769674 781570 826971 814879 799102 696536 421160 204923 421574 288913 668706 469146 416303 703028 716053 368269 359440 329824 350932 732407 
"16384/4096" 855690 874229 853829 865366 846321 930492 374534 631196 452197 539070 581093 380102 503547 471997 751387 477557 525632 643870 583016 688001 
"16384/8192" 1348027 875922 870607 883285 845707 1133595 364258 714712 629934 663560 885767 220511 250926 833278 227259 466955 785609 590689 743075 598832 
"16384/16384" 1469155 1034016 1019534 1031161 998890 1014612 892520 222168 707246 848914 1484035 563894 202724 289097 226248 729639 879015 278492 740784 1115851 
"32768/64" 181651 175746 175605 179252 186923 214220 75770 59962 78011 60021 214710 194256 194131 162078 191916 50660 55759 63805 60747 234185 
"32768/128" 167582 188469 201110 199913 212808 329296 68700 71046 94557 79385 204434 211234 221913 225972 231654 66856 116529 113189 118956 233948 
"32768/256" 238849 292323 214884 237988 193206 436516 446327 142753 78658 77988 221465 289219 228057 220107 242282 84091 116729 131974 83422 362129 
"32768/512" 339532 333995 369130 330292 369979 450791 546707 143715 143949 157806 321636 386879 277450 280257 253214 170429 193176 378759 148450 179616 
"32768/1024" 397432 511583 524010 438872 554675 319037 339962 257090 294392 259439 395356 509476 426006 528447 418498 291341 308523 269524 317993 676996 
"32768/2048" 701266 649759 824539 737900 517832 397654 959529 313620 391451 484554 680964 741791 570582 769854 642058 293196 226961 360924 384109 909061 
"32768/4096" 847594 704115 848232 779760 855652 532699 908658 417144 514855 498554 896525 900761 586116 430495 439414 511984 404104 518990 475870 1077852 
"32768/8192" 960548 859150 864271 864728 871583 661910 656463 469819 680866 558445 914085 972146 648254 340037 330715 503812 654665 627017 345829 290991 
"32768/16384" 1013862 995805 987470 987797 1008742 684989 1495986 849223 799631 797585 1394500 977331 1057574 397076 944813 758556 673117 735519 717416 565257 
"65536/64" 182655 196090 188274 192252 201716 60999 205156 59393 62232 90945 183592 237433 209688 211588 222120 69882 60154 82281 62567 61222 
"65536/128" 224352 228117 225629 221338 199014 105326 287116 72946 68341 87765 247879 218347 216717 252173 250789 73817 82474 100738 72333 74994 
"65536/256" 282303 269160 237965 302753 249462 429074 460350 152572 81019 121309 279453 268184 254386 246457 292238 74398 376754 78734 83881 97242 
