Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"8192/512" 301222 299416 382302 278941 381237 694587 656085 26927 114045 556560 342802 267432 335449 304378 324305 107257 139047 106046 31924 777601 
"8192/1024" 380279 453475 419564 431932 405564 360914 661122 101111 97763 423249 472540 448140 404442 449224 402891 104869 90543 98106 28842 774726 
"8192/2048" 570392 584430 541586 548108 662039 744187 768625 28730 115455 453876 697365 536654 563220 628082 577301 103136 26140 210841 95074 656411 
"8192/4096" 611200 577670 571787 508687 544064 640456 701365 105409 96895 28180 635188 368711 630537 548467 619342 27362 6660 103701 105394 725274 
"8192/8192" 527630 600759 514638 542372 524153 642156 686895 87526 90246 106284 638208 515093 496874 153428 468756 97899 7536 108602 107989 688809 
"16384/4" 18141 18366 18036 19875 15721 73605 71338 3290 58579 66853 17060 19862 18238 18534 18471 63371 66596 69165 28412 66109 
"16384/8" 26850 28693 27719 26516 28457 108384 131407 57225 121623 118164 44453 26401 26289 23114 21951 122958 83906 90620 89772 129183 
"16384/16" 68497 89389 84975 85584 83900 245754 174064 110522 98815 190595 72869 88550 72335 68524 67054 83903 121970 211885 99323 209256 
"16384/32" 79253 71154 112039 104965 95357 235199 293909 109687 107831 116560 88309 79987 87214 91997 83281 116861 107405 110260 81847 279762 
"16384/64" 124311 106487 121760 98701 124118 348729 372922 104908 106451 100672 101376 96195 107150 119982 115178 103855 101017 104841 115443 110947 
"16384/128" 155962 161099 131402 156624 154849 359038 129655 30003 129505 112297 160914 139931 169645 159284 151470 70592 109765 107749 122505 120787 
"16384/256" 209316 226940 203636 194189 201168 503702 115716 134863 113434 98623 213433 229217 202224 233659 189548 56216 117913 39535 104613 495236 
"16384/512" 213186 256227 277008 249486 254129 612163 96396 11612 87882 96093 267659 326043 259429 334395 309980 63288 104485 115870 118924 654965 
"16384/1024" 423228 437244 409630 395576 415226 543306 110817 13059 142475 124281 427770 415394 309914 325091 284806 105425 113572 99059 97209 712068 
"16384/2048" 608234 598613 598654 722527 541956 703539 82248 32987 49481 23582 646924 571591 637804 367115 556258 48899 101839 98172 68900 317187 
"16384/4096" 289952 610612 533334 555633 571648 479627 110303 138477 47594 56397 677694 529883 394890 619994 491159 33345 142933 100204 101974 339748 
"16384/8192" 618382 586649 676800 658997 516941 742168 94505 111333 117065 94408 592849 573509 534395 175763 563663 45155 21493 109694 7860 477584 
"16384/16384" 641005 564144 597084 616523 600055 502777 110681 97688 92460 104258 638379 44987 377772 545662 347758 42979 19603 128928 8954 739883 
"32768/64" 135007 150084 148014 140935 155731 295452 35077 86701 107107 44309 144413 142903 134127 162575 139816 31714 15931 40237 89374 308482 
"32768/128" 157107 159780 141507 152721 161045 403621 49952 92938 98984 98722 135405 128396 141633 138065 155202 94488 13530 102184 103055 360100 
"32768/256" 200519 172348 182913 191170 183154 597444 583796 96870 47048 106778 198366 173958 191866 193918 192265 97558 16430 46346 123142 452952 
"32768/512" 239360 237207 295657 244345 229110 146893 595079 162904 64096 104610 288141 225039 200678 241314 233176 115066 18972 299073 33693 92758 
"32768/1024" 351237 314143 354812 341913 361717 60896 588843 118159 104796 102416 420053 390677 396951 363080 280677 96281 120253 102923 110134 740069 
"32768/2048" 525414 528754 378204 532761 547583 173161 739886 21690 116213 124122 460043 402649 545832 431572 396496 105061 108693 98806 45697 697352 
"32768/4096" 424455 450773 504923 534813 437770 131107 433038 17118 116849 37325 432689 458568 240562 652217 610137 15713 24027 117560 14345 750938 
"32768/8192" 413899 344284 402599 398094 424880 101560 659727 14053 49484 42449 484204 451499 116355 234522 394966 17266 50475 124624 17765 411616 
"32768/16384" 560520 411709 451549 446777 482933 43431 716209 14980 103789 113336 395156 427502 175723 197554 301439 16239 94879 132337 103495 88856 
"65536/64" 155131 160997 162354 164328 156696 107352 319727 100906 103689 96586 147990 161411 152367 160353 173209 106146 310194 24080 97204 101005 
"65536/128" 185029 174508 169805 175922 168593 100488 322150 100190 15199 105059 184638 166606 169448 180108 161026 105033 15263 28527 44143 44487 
"65536/256" 204164 203196 191805 222744 182398 465490 444755 3918 99964 12492 201338 222737 193812 195844 216995 39227 112038 54707 15221 104184 
"65536/512" 232477 254252 249762 237653 238747 569838 343499 105351 34901 20209 240759 233455 261379 251009 198775 108345 46527 109162 17271 36007 
"65536/1024" 352177 318145 338598 326970 324105 605194 649481 20819 105544 17604 340065 327387 354181 310533 320929 109677 122694 15446 112442 389223 
"65536/2048" 418361 434666 455427 438124 467643 118424 522025 17320 20424 27175 338330 399266 373048 465474 436787 17918 38490 111982 109106 109756 
"65536/4096" 438872 395166 438816 431149 380992 117124 627781 20474 12628 113695 451898 77802 131532 439414 412506 13145 199996 104588 108082 147563 
"65536/8192" 447699 458139 431720 422297 434672 119666 663373 19739 16437 109411 415289 232388 407243 401770 425204 15489 112211 26919 104362 116437 
"65536/16384" 399215 432384 405592 470044 393259 110918 609512 21090 16516 10841 401148 216814 215589 166326 371563 19382 27918 12152 14681 42783 
"131072/64" 150112 176957 175899 179941 159694 171977 302560 58309 19193 157629 166955 155369 157553 160617 145759 18054 102722 125987 100156 98818 
"131072/128" 177375 193902 188296 195742 167336 109007 419481 17857 14503 92986 174817 160208 189664 83254 164405 18842 110267 15796 17824 109436 
"131072/256" 225221 234508 204815 222805 203579 111697 477328 16534 357698 108986 227267 201629 180130 211984 193568 107461 109335 24160 119854 109404 
"131072/512" 259991 248940 261381 242641 298426 545883 412135 22714 542943 110011 247248 271518 235666 323888 224348 106516 109601 109393 14942 17480 
"131072/1024" 320248 320692 335304 327675 296741 114669 601148 23390 601540 555839 312139 309709 348516 327230 280702 15237 107487 118340 28660 131520 
"131072/2048" 425738 373345 388059 423015 420411 43253 660086 17261 193424 46088 408138 387262 369239 373186 406038 17612 110293 89037 157090 14443 
"131072/4096" 439896 409369 434404 377965 403540 117763 624529 114434 124182 105315 370653 384703 325791 381500 448918 20739 143667 26418 106169 672764 
"131072/8192" 379705 437773 364001 401061 359101 114122 114951 23695 516490 112298 336410 287367 252439 312002 418678 15286 20334 17065 31475 532546 
"131072/16384" 414086 395854 451332 430608 434495 115863 485560 14770 605598 345505 393411 317623 228327 104473 422785 105129 38188 110145 29603 417250 
"262144/64" 169597 172466 170692 170639 166864 124230 307796 19510 265128 311118 170729 169743 166463 177248 171458 15543 106011 97009 16471 305027 
"262144/128" 189426 177179 184206 180535 190643 104793 380346 18173 171787 404917 187074 184694 186332 184009 181124 19912 153418 39012 54232 355221 
"262144/256" 228895 232646 204597 217992 205959 138492 39407 116687 104843 147093 205527 228959 211380 220650 190010 19151 37736 21836 108685 537790 
"262144/512" 257785 254894 299696 263136 307529 112377 103242 16484 18158 38826 263356 312391 294208 276282 242882 17231 319482 20837 40551 473918 
"262144/1024" 303187 353179 331972 347907 346015 134561 13152 16501 18250 25144 307803 310485 344259 327326 316442 110075 20658 108253 18518 99214 
"262144/2048" 391520 431878 426654 448814 363078 92354 16814 17624 113932 123133 389658 427927 395982 357663 401589 17195 18269 17677 16378 109746 
"262144/4096" 381161 433205 452696 451926 347031 27279 58751 17082 113030 110038 396626 397676 409812 389278 325169 20862 20774 18041 110833 29346 
"262144/8192" 422287 415232 448549 408528 434240 90125 19631 21145 19064 632168 381529 356856 375620 377743 398879 16152 40394 18509 17020 13529 
"262144/16384" 406376 424221 391036 366180 393083 112749 18945 16582 645759 483525 289578 409701 179011 408501 356906 15878 38314 45207 101499 121289 
"524288/64" 175125 167822 174027 175768 165858 127721 103356 25489 308035 339995 167023 165007 169212 171031 167051 112807 112523 96282 108014 104070 
"524288/128" 189280 188425 188619 189931 184977 123952 16577 22062 110980 380917 172748 175619 183191 179566 189761 89104 50038 22259 106877 133746 
"524288/256" 226873 217029 211199 244683 209503 586112 62130 95630 132362 19524 212811 216011 204725 217534 223769 108844 111764 103774 96106 576586 
"524288/512" 270654 250466 304842 254213 282942 182827 21133 17735 20105 57152 264310 240321 54689 239221 256212 114765 16813 59662 168229 467604 
"524288/1024" 358631 351903 335360 333714 330882 101948 22714 19803 84774 33944 313556 326203 324862 313827 326783 35748 38184 22148 47067 635502 
"524288/2048" 395992 429353 404607 408687 402895 25014 18349 21000 255293 16160 368540 356865 386180 375427 382852 22847 20759 32303 19498 41798 
"524288/4096" 391149 405428 397818 408231 411315 87681 110537 22162 29329 14847 382246 380925 398783 394765 404616 32579 22450 18423 19691 73851 
"524288/8192" 404839 416852 398592 408644 377204 49872 20165 41289 265491 20084 265872 375081 315921 383846 387963 49800 45016 143431 17697 59264 
"524288/16384" 411293 445254 461280 425549 492376 110015 16068 24363 31533 651039 369541 386230 302462 220470 342837 22271 37760 33264 18570 332210 
