Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"16384/64" 1846265 1870131 1876924 1878669 2146758 1859051 2164338 1843986 1839445 2304722 2316688 1783957 1836790 2583846 2369407 2296942 1705079 1859051 1813810 1830186 
"16384/128" 2013002 1806419 2159509 1836790 2120918 3027982 2209288 2333602 2311856 1806372 1786879 2360131 2343550 2280932 2633252 2228850 1789578 2181376 1782615 1781644 
"16384/256" 1795094 1802439 1798901 1793923 1768531 1760962 1774697 1772591 1780306 1771631 2192092 1786275 1740755 1825276 2231528 1773185 1774330 1757000 2033794 2083683 
"16384/512" 1818417 1825518 1823484 1818851 2072872 1785904 1784142 2173236 1797677 1848599 2445375 2185956 2060318 2186303 2430843 2071310 1795094 2028211 1832871 1769533 
"16384/1024" 1908036 2171793 2167751 2317391 2595263 2273010 1833506 2185399 1588382 1812566 2070000 2000461 1823726 2176677 2329884 1833066 2147295 2292421 2114327 2721045 
"16384/2048" 2419375 1911592 1954878 2681546 2093203 1957440 1876104 2170901 2139207 2259557 1871353 2035782 2939266 2410887 2082609 1947013 2245895 2359158 2194192 1884956 
"16384/4096" 2671435 2780273 2225457 2101268 2403383 2060875 2099727 2593598 2544901 1979942 2893719 2458938 2806961 2281310 2649496 2285711 2235811 2848852 2065024 2699666 
"16384/8192" 3198664 2329884 2838614 2786360 3034668 3378903 2349319 2305650 2226683 2648475 2754971 2879894 2244428 3054496 3022921 3054361 1916497 3369790 2345870 3624864 
"16384/16384" 2735669 2096204 2443549 2131708 2362890 2097804 1853985 1854886 1843788 1660500 1947952 2453057 1914468 2663152 2365248 1844629 2070749 1982856 1863083 3135755 
"32768/64" 1910126 1923788 2071429 2028954 2377597 2433029 1867661 1887876 1839440 2404636 2364060 2839248 1817307 2364386 2385728 1855908 1935383 1830498 2464662 1877509 
"32768/128" 1968537 1812776 2344422 1957602 2431781 2390957 1838210 2270824 1786387 2482424 2395166 2263308 2836553 2030993 2367807 1908322 2376200 2341546 1847352 1776619 
"32768/256" 2341945 2218875 1800334 1894982 2404468 2249012 1752761 1848793 1810389 1827528 1925594 2634100 1769802 2700292 2273980 1912678 1871272 1791393 1828574 1504221 
